Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A11.497.497.600.Oocytes	-5.47851453021e-09	7.18596072592e-09	0.777086775942
Whole_Blood	-5.9236739319e-09	7.62393388907e-09	0.781415867172
A11.329.629.Osteoblasts	-5.69973372954e-09	7.32319860368e-09	0.78180746378
Esophagus_Gastroesophageal_Junction	-4.79480233744e-09	6.0230830741e-09	0.78700464315
Heart_Atrial_Appendage	-5.04287355446e-09	6.305653718e-09	0.788068816567
A05.360.444.492.362.Foreskin	-5.84941290885e-09	7.20958241969e-09	0.791414391552
A15.145.229.Blood.Cells	-7.55352048002e-09	9.26365701846e-09	0.792576286295
A02.165.Cartilage	-4.97186068511e-09	6.07441194174e-09	0.793461991812
A15.382.520.604.700.Spleen	-6.51400070272e-09	7.84382745352e-09	0.796861190431
A10.165.450.300.425.Keloid	-6.58889208898e-09	7.93377907638e-09	0.796867957119
A15.145.229.188.Blood.Platelets	-5.92346384151e-09	7.07247279368e-09	0.798854851941
Esophagus_Mucosa	-5.88987064148e-09	6.98344611976e-09	0.800498902338
A15.382.812.522.Macrophages	-7.00193641022e-09	7.95957906348e-09	0.810485491262
A11.329.228.Fibroblasts	-6.26669523173e-09	6.90533359097e-09	0.817932793816
Thyroid	-7.25119413462e-09	7.69960347723e-09	0.826842753294
A05.360.319.Genitalia..Female	-7.11332118846e-09	7.4306688992e-09	0.830790097969
A05.360.444.Genitalia..Male	-6.90462774363e-09	7.15759964e-09	0.832641650441
A06.407.Endocrine.Glands	-7.42627201299e-09	7.57714643678e-09	0.836478714863
A05.810.453.Kidney	-6.68385301773e-09	6.76774848857e-09	0.838326597671
Artery_Tibial	-6.10580754644e-09	6.12574737135e-09	0.840555829023
A02.835.232.834.151.Cervical.Vertebrae	-7.36399746609e-09	7.20082807476e-09	0.84676563986
A03.556.249.249.209.Cecum	-9.15683831804e-09	8.18616606e-09	0.868339190994
A04.531.520.Nasal.Mucosa	-9.66468281096e-09	8.38409882544e-09	0.875491360923
A14.724.557.Nasopharynx	-7.84388152295e-09	6.795544796e-09	0.875804893151
A11.872.653.Neural.Stem.Cells	-9.78274100333e-09	8.42300139442e-09	0.877266812336
Small_Intestine_Terminal_Ileum	-9.49261334755e-09	7.92841342042e-09	0.884403309311
A06.407.071.140.Adrenal.Cortex	-8.63802510657e-09	7.16759114949e-09	0.885927370624
A02.835.583.443.800.Synovial.Membrane	-8.34725901791e-09	6.90910005706e-09	0.886506043835
A07.231.908.Veins	-9.19287086219e-09	7.4769211973e-09	0.890557707114
A05.360.319.679.Uterus	-8.95544415628e-09	7.15337259433e-09	0.894700337463
A07.541.510.110.Aortic.Valve	-8.75335295841e-09	6.90723195944e-09	0.897471267974
A06.407.071.Adrenal.Glands	-9.17416684186e-09	7.21079571911e-09	0.898363559759
A15.382.490.315.583.Neutrophils	-1.11527403447e-08	8.71213832352e-09	0.899751717341
A07.541.Heart	-8.1631320481e-09	6.3020225943e-09	0.902394963122
A10.272.Epithelium	-1.08615237384e-08	8.29880230307e-09	0.904699993433
A03.556.875.875.Stomach	-1.07360573495e-08	8.1854196572e-09	0.905173689859
Artery_Aorta	-8.72566039362e-09	6.45714651332e-09	0.911703257389
Spleen	-1.24720329698e-08	8.99435968777e-09	0.917225812711
A17.815.Skin	-9.75132224945e-09	6.98256392357e-09	0.918721710119
A08.186.211.653.Mesencephalon	-1.02504734199e-08	7.31260169447e-09	0.919505737325
A06.407.900.Thyroid.Gland	-9.26682165983e-09	6.50261513732e-09	0.922934625527
A03.734.Pancreas	-9.66617066223e-09	6.70688662763e-09	0.925240235827
A05.360.Genitalia	-9.9328043781e-09	6.86857128465e-09	0.925928758727
A03.620.Liver	-1.07796628667e-08	7.41153623179e-09	0.927088346978
A11.329.Connective.Tissue.Cells	-1.01046077512e-08	6.83717483961e-09	0.930281690343
A03.556.249.124.Ileum	-1.2651196239e-08	8.33896690542e-09	0.935381544388
A06.407.312.782.Testis	-9.37565631147e-09	6.11799235808e-09	0.937297086201
A10.615.550.599.Mouth.Mucosa	-1.15913775522e-08	7.47703872243e-09	0.93946081512
A15.382.680.Phagocytes	-1.2815020559e-08	8.21677374172e-09	0.9405747995
Artery_Coronary	-1.04690482239e-08	6.37593057003e-09	0.949701263633
A05.360.319.114.630.Ovary	-1.31529135961e-08	7.88730646537e-09	0.952302941378
A07.231.908.670.874.Umbilical.Veins	-1.21499835474e-08	7.25120373152e-09	0.953089912267
A10.615.Membranes	-1.32682982154e-08	7.76133211432e-09	0.956324402435
A11.436.348.Hepatocytes	-1.34742874331e-08	7.75160687384e-09	0.958917258927
A11.627.340.360.Granulocyte.Precursor.Cells	-1.38651963423e-08	7.93264661722e-09	0.959756307169
A05.360.319.679.490.Endometrium	-1.24768866736e-08	7.06331003537e-09	0.961338653423
Adrenal_Gland	-1.18003120953e-08	6.62828360175e-09	0.96248629984
A10.615.550.Mucous.Membrane	-1.4259902891e-08	8.00653178263e-09	0.962546526892
A11.329.171.Chondrocytes	-1.3819424426e-08	7.72901549682e-09	0.963111419097
A05.360.319.679.690.Myometrium	-1.25908348751e-08	7.0372936349e-09	0.963205366649
A14.549.Mouth	-1.22356799263e-08	6.78511162019e-09	0.964330463185
Fallopian_Tube	-1.16654785083e-08	6.35015312032e-09	0.966897925908
Cells_EBV-transformed_lymphocytes	-1.41171065027e-08	7.20111903662e-09	0.975025737588
A10.615.789.Serous.Membrane	-1.49903589828e-08	7.37535227489e-09	0.9789481629
A03.556.124.684.Intestine..Small	-1.60537003774e-08	7.70335566299e-09	0.981419368325
A10.165.114.830.750.Subcutaneous.Fat	-1.44400732243e-08	6.8260434711e-09	0.982803692236
A10.549.400.Lymph.Nodes	-1.69816192889e-08	7.85007971388e-09	0.98473870031
A10.549.Lymphoid.Tissue	-1.76452683311e-08	7.99543840037e-09	0.98634006813
A03.556.875.Upper.Gastrointestinal.Tract	-1.70924883638e-08	7.71995582302e-09	0.986587865551
A05.360.319.887.Vulva	-1.56047175582e-08	7.01348100973e-09	0.986958051884
A15.378.316.Bone.Marrow.Cells	-1.9407639753e-08	8.53433543062e-09	0.988518982676
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	-1.83432982917e-08	7.14170645204e-09	0.994892653874
A03.556.875.500.Esophagus	-2.365231511e-08	7.3379261391e-09	0.999366379514
